Order_ID,Order_Date,Product,Category,Region,Country,Sales_Channel,Quantity_sold,Unit_Price,Revenue,Cost,Profit,Customer_Type,Payment_Method,Order_month,Year,Profit Margin %,Sales Category
APL0001,12-07-2025,MacBook Air,Laptop,Asia,Singapore,Online,7.00,1199.00,8393.00,5950.00,2443.00,New,Card,July,2025,29.11%,high
APL0002,04-01-2025,MacBook Air,Laptop,Asia,Singapore,Online,4.00,1199.00,4796.00,3400.00,1396.00,Returning,Cash,January,2025,29.11%,low
APL0003,26-08-2025,MacBook Air,Laptop,North America,USA,Retail Store,7.00,1199.00,8393.00,5950.00,2443.00,Returning,Cash,August,2025,29.11%,high
APL0004,28-02-2025,AirPods Pro,Audio,Europe,Germany,Retail Store,5.00,249.00,1245.00,700.00,545.00,Returning,UPI,February,2025,43.78%,low
APL0005,18-04-2025,iPhone 15,Smartphone,North America,USA,Retail Store,5.00,799.00,3995.00,2750.00,1245.00,Returning,UPI,April,2025,31.16%,low
APL0006,09-07-2025,iPad Air,Tablet,Asia,Japan,Distributor,2.00,699.00,1398.00,960.00,438.00,Returning,Card,July,2025,31.33%,low
APL0007,30-06-2025,iPad Pro,Tablet,Middle East,Saudi Arabia,Retail Store,8.00,999.00,7992.00,5600.00,2392.00,New,Net Banking,June,2025,29.93%,high
APL0008,06-12-2025,iPhone 15 Pro,Smartphone,North America,Canada,Online,7.00,999.00,6993.00,4900.00,2093.00,Returning,Card,December,2025,29.93%,high
APL0009,04-11-2025,iPad Pro,Tablet,Asia,Singapore,Online,8.00,999.00,7992.00,5600.00,2392.00,Returning,Card,November,2025,29.93%,high
APL0010,07-07-2025,iPhone 15,Smartphone,Europe,Italy,Distributor,4.00,799.00,3196.00,2200.00,996.00,Returning,Net Banking,July,2025,31.16%,low
APL0011,05-02-2025,iPhone 15,Smartphone,North America,Canada,Online,2.00,799.00,1598.00,1100.00,498.00,Returning,UPI,February,2025,31.16%,low
APL0012,22-07-2025,iPad Air,Tablet,North America,Canada,Online,6.00,699.00,4194.00,2880.00,1314.00,Returning,Net Banking,July,2025,31.33%,low
APL0013,08-04-2025,AirPods Max,Audio,Middle East,Saudi Arabia,Distributor,2.00,549.00,1098.00,720.00,378.00,Returning,Net Banking,April,2025,34.43%,low
APL0014,07-11-2025,MacBook Air,Laptop,Asia,Japan,Online,4.00,1199.00,4796.00,3400.00,1396.00,Returning,UPI,November,2025,29.11%,low
APL0015,23-08-2025,Apple Watch Series 9,Wearable,North America,Canada,Retail Store,7.00,499.00,3493.00,2240.00,1253.00,New,Cash,August,2025,35.87%,low
APL0016,13-02-2025,iPhone 15,Smartphone,Middle East,UAE,Retail Store,1.00,799.00,799.00,550.00,249.00,Returning,Card,February,2025,31.16%,low
APL0017,15-03-2025,Apple Watch Series 9,Wearable,Asia,Japan,Online,1.00,499.00,499.00,320.00,179.00,New,Card,March,2025,35.87%,low
APL0018,21-06-2025,iPhone 15 Pro,Smartphone,Asia,Singapore,Distributor,5.00,999.00,4995.00,3500.00,1495.00,New,Cash,June,2025,29.93%,low
APL0019,07-08-2025,iPad Air,Tablet,North America,Canada,Online,3.00,699.00,2097.00,1440.00,657.00,New,Cash,August,2025,31.33%,low
APL0020,20-09-2025,MacBook Pro,Laptop,Asia,Japan,Retail Store,1.00,1999.00,1999.00,1450.00,549.00,Returning,UPI,September,2025,27.46%,low
APL0021,25-05-2025,MacBook Pro,Laptop,Europe,UK,Distributor,6.00,1999.00,11994.00,8700.00,3294.00,New,Card,May,2025,27.46%,high
APL0022,29-03-2025,iPhone 15,Smartphone,Middle East,UAE,Distributor,4.00,799.00,3196.00,2200.00,996.00,New,Card,March,2025,31.16%,low
APL0023,24-02-2025,Apple Watch Series 9,Wearable,Middle East,Saudi Arabia,Retail Store,3.00,499.00,1497.00,960.00,537.00,Returning,UPI,February,2025,35.87%,low
APL0024,12-02-2025,AirPods Max,Audio,Asia,Singapore,Online,8.00,549.00,4392.00,2880.00,1512.00,Returning,Card,February,2025,34.43%,low
APL0025,01-01-2025,iPad Pro,Tablet,Europe,Germany,Distributor,8.00,999.00,7992.00,5600.00,2392.00,New,Cash,January,2025,29.93%,high
APL0026,25-10-2025,iPad Air,Tablet,Asia,Japan,Retail Store,5.00,699.00,3495.00,2400.00,1095.00,New,Cash,October,2025,31.33%,low
APL0027,22-01-2025,AirPods Pro,Audio,Asia,Singapore,Retail Store,7.00,249.00,1743.00,980.00,763.00,New,Cash,January,2025,43.78%,low
APL0028,26-04-2025,MacBook Pro,Laptop,Europe,Italy,Distributor,8.00,1999.00,15992.00,11600.00,4392.00,Returning,Cash,April,2025,27.46%,high
APL0029,15-03-2025,iPhone 15,Smartphone,North America,Canada,Retail Store,7.00,799.00,5593.00,3850.00,1743.00,New,UPI,March,2025,31.16%,high
APL0030,08-06-2025,iPad Air,Tablet,Asia,India,Online,6.00,699.00,4194.00,2880.00,1314.00,Returning,Cash,June,2025,31.33%,low
APL0031,08-02-2025,MacBook Air,Laptop,North America,USA,Distributor,1.00,1199.00,1199.00,850.00,349.00,New,Card,February,2025,29.11%,low
APL0032,16-09-2025,iPhone 15,Smartphone,North America,USA,Retail Store,2.00,799.00,1598.00,1100.00,498.00,Returning,Card,September,2025,31.16%,low
APL0033,16-10-2025,Apple Accessories,Accessories,Europe,Italy,Distributor,1.00,99.00,99.00,40.00,59.00,New,Cash,October,2025,59.60%,low
APL0034,21-02-2025,MacBook Air,Laptop,Middle East,UAE,Distributor,1.00,1199.00,1199.00,850.00,349.00,New,UPI,February,2025,29.11%,low
